Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.70, 2018)",SIR_2015,Months,Notes,Facility_Type,On_Track,Met_2020_Goal,Year ,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,Infection_Count,SIR ,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Facility_ID1,Cases,Predicted_Cases,Hospital_Onset_Cases,Facility_Category
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,624.0,826.34,14963797.0,0.76,0.7,0.82,Better,No,,,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,0.0,1.95,93504.0,0.0,0.0,1.54,Same,Yes,0.47,,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,93.0,68.4,452585.0,1.36,1.1,1.66,Worse,No,1.59,,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,9.0,10.57,556016.0,0.85,0.42,1.56,Same,No,0.85,,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),1.0,0.45,11855.0,2.21,0.06,12.29,Same,No,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Community (>250 Beds),2.0,3.84,55163.0,0.52,0.09,1.72,Same,Yes,0.58,12.0, See data dictionary,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Alameda,Acute Care Hospital,Community (>250 Beds),1.0,2.66,71698.0,0.38,0.02,1.85,Same,Yes,,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Eden Medical Center,Alameda,Acute Care Hospital,Community (>250 Beds),2.0,1.89,41348.0,1.06,0.18,3.51,Same,No,2.19,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,5.0,5.11,58417.0,0.98,0.36,2.17,Same,No,0.74,12.0,,,,,,,,,,,,,,,,,,,,
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,"Kaiser Foundation Hospital, Fremont",Alameda,Acute Care Hospital,Community (<125 Beds),0.0,0.61,18442.0,0.0,0.0,6.08,Same,Yes,0.0,12.0,¥ See Data Dictionary,,,,,,,,,,,,,,,,,,,
